id,job_id,type,level,item,reference,message,stamp
01e0d917-e95f-48ff-ab24-28d4bd8b73be,b7a42521-5558-4c74-a6ea-9290d3f191d8,common,0,null,,PHP executable [/usr/local/bin/php].,1645521843.644573
03477812-722e-4a99-9604-8cb3f1665304,8e674b61-6951-4714-a6d3-f243ace5f521,common,0,null,,PHP executable [/usr/local/bin/php].,1646647183.883241
058f17b8-1197-44c0-b311-721c8133415a,af143232-4720-4c02-8147-1e3296e9a9ad,common,0,null,,New job [af143232-4720-4c02-8147-1e3296e9a9ad].,1646296101.496423
07aa9060-ade1-4c48-85cc-b66b28019b3b,9856c600-0d0c-45b4-92d1-408610efdf94,common,2,"{""index"":""00000006"",""source"":{""name"":""Dani Box 21700 MOD"",""power"":""80"",""voltage"":null,""vendor"":""Dicodes""},""item"":{""vendor"":""Dicodes"",""name"":""Dani Box 21700 MOD"",""power"":""80""}}",00000006,Duplicate entry [z_mod_name_unique] of [z_mod].,1645218114.083818
09826247-d6c5-41e9-859e-1b9372369b17,98161c45-1cf5-45fe-8b4d-9c881d808475,common,0,"{""index"":""00000011"",""source"":{""name"":""Extreme"",""vendor"":""Vapor Giant"",""coilMin"":null,""coilMax"":null,""dual"":""true""},""item"":{""vendor"":""Vapor Giant"",""name"":""Extreme"",""dual"":""true""}}",,Job successfully finished.,1645218098.028825
0a63f851-7a33-4cd0-badf-35fddfc348f1,6457c36c-23f1-45d6-a0ec-860a6178abe1,common,0,null,,PHP executable [/usr/local/bin/php].,1645525618.784999
0a76dd94-2527-4aa1-bb14-7cbff84dc998,d7b2664f-7ce7-4478-989b-c010f553e8c3,common,0,null,,PHP executable [/usr/local/bin/php].,1645898739.735259
0a84a402-23e8-4b52-b604-b9bd6cde677e,6457c36c-23f1-45d6-a0ec-860a6178abe1,common,0,null,,"Executing job service [PuffSmith\Updater\UpdaterJobService], user id [ef1bb964-8099-4d5d-9484-d4d8174c6c33], language [].",1645525619.376855
10872b3e-c11d-47b3-b85f-3d11fb303072,3d91c1e0-12eb-426c-bab2-3f692f4c8380,common,0,null,,"Executing job service [PuffSmith\Updater\UpdaterJobService], user id [ef1bb964-8099-4d5d-9484-d4d8174c6c33], language [].",1646444050.84224
113e7630-4d9b-4d47-a8be-b95a4c1115c0,05e1fe95-c1c3-4d10-a98d-06e11d68c102,common,0,null,,Job successfully finished.,1647037790.044825
121da3ca-bd64-462e-8437-0305405b19ee,98161c45-1cf5-45fe-8b4d-9c881d808475,common,2,"{""index"":""00000006"",""source"":{""name"":""Kayfun Lite 24mm RTA"",""vendor"":""Svo\u00ebMesto"",""coilMin"":null,""coilMax"":null,""dual"":""false""},""item"":{""vendor"":""Svo\u00ebMesto"",""name"":""Kayfun Lite 24mm RTA"",""dual"":""false""}}",00000006,SQLSTATE[42S22]: Unknown column 'dual' in 'field list',1645218097.081728
