id,code,label,group,sort
02c7ef8c-7841-477b-bba4-ed3247c526bc,acryl,acryl,material,4
0bb8d7f6-d0c6-41fd-936c-6994572829d6,metal,metal,material,1
0bd5d637-6612-443a-9e5b-1b4a8d0a9d59,18650,18650,cell-type,1
1003b0cc-6ff2-45f1-8ae4-355ea8819d96,rmtl,rmtl,draw,1
224fe11c-7ce3-4f90-8b88-3797d9ca996f,resin,resin,material,5
26b8cf6b-fef0-4719-92f8-7435e8c7d9ef,RDA,RDA,atomizer-type,1
3fd8b36a-f435-4649-9179-1745c52201d0,silicon,silicon,material,8
53768f66-fc71-439a-b2e5-2aaf3a6b1189,18350,18350,cell-type,0
5950627e-9068-4407-880e-0c9310c4a8b8,26650,26650,cell-type,4
595c8ebc-b922-4873-9744-05a08e539f88,glass,glass,material,7
660ec6e5-e976-4e6c-8329-862f0a4e0f3d,mtl,mtl,draw,0
6b755b22-e60d-47d0-a1df-cfeb80232f56,carbon,carbon,material,6
6fec477c-8f18-4c9e-82aa-e280f1fe9a07,RTA,RTA,atomizer-type,0
7e376c09-9399-4b52-8dcd-69a2901facc7,wood,wood,material,3
8903d073-0828-4575-bc71-d3d148f0de87,rdl,rdl,draw,3
8bf2e3b2-d852-417d-9ff5-4558cd213df7,plastic,plastic,material,0
8f5d4401-c4fc-495d-baa8-f0ab11d9744c,omtl,omtl,draw,2
a135e1c9-9fe8-4bdf-9bc6-84214eee3a0f,RDTA,RDTA,atomizer-type,2
c7a2e545-e27a-4275-a38a-e502038d1a86,20700,20700,cell-type,2
db39a172-09a3-4ff8-a160-b1ec5b5aad7a,dl,dl,draw,2
db43bc65-6b53-4f42-8c90-a80851eef5c7,delrin,delrin,material,2
e4788540-1bf4-4c7b-bf01-f7c43a32abb2,21700,21700,cell-type,3
